System,ClassName,CBO,DCC,ExportCoupling,ImportCoupling,NOM,WMC,Defect
xerces_1_3,org.apache.html.dom.CollectionIndex,1,0,1,0,3,4,0
xerces_1_3,org.apache.html.dom.HTMLAnchorElementImpl,2,1,0,3,26,30,0
xerces_1_3,org.apache.html.dom.HTMLAppletElementImpl,2,1,0,3,22,22,0
xerces_1_3,org.apache.html.dom.HTMLAreaElementImpl,2,1,0,3,16,20,0
xerces_1_3,org.apache.html.dom.HTMLBRElementImpl,2,1,0,3,2,2,0
xerces_1_3,org.apache.html.dom.HTMLBaseElementImpl,2,1,0,3,4,4,0
xerces_1_3,org.apache.html.dom.HTMLBaseFontElementImpl,2,1,0,3,6,6,0
xerces_1_3,org.apache.html.dom.HTMLBodyElementImpl,3,1,1,3,12,12,0
xerces_1_3,org.apache.html.dom.HTMLBuilder,8,2,0,8,10,32,0
xerces_1_3,org.apache.html.dom.HTMLButtonElementImpl,2,1,0,3,11,15,0
xerces_1_3,org.apache.html.dom.HTMLCollectionImpl,8,1,7,1,8,53,0
xerces_1_3,org.apache.html.dom.HTMLDListElementImpl,1,1,0,2,2,2,0
xerces_1_3,org.apache.html.dom.HTMLDOMImplementationImpl,1,0,0,1,2,3,0
xerces_1_3,org.apache.html.dom.HTMLDirectoryElementImpl,1,1,0,2,2,2,0
xerces_1_3,org.apache.html.dom.HTMLDivElementImpl,2,1,0,3,2,2,0
xerces_1_3,org.apache.html.dom.HTMLDocumentImpl,12,1,55,10,31,76,0
xerces_1_3,org.apache.html.dom.HTMLElementImpl,53,1,51,3,22,37,0
xerces_1_3,org.apache.html.dom.HTMLFieldSetElementImpl,0,1,0,1,0,0,0
xerces_1_3,org.apache.html.dom.HTMLFontElementImpl,2,1,0,3,6,6,0
xerces_1_3,org.apache.html.dom.HTMLFormControl,0,0,0,0,0,0,0
xerces_1_3,org.apache.html.dom.HTMLFormElementImpl,4,2,0,5,16,17,0
xerces_1_3,org.apache.html.dom.HTMLFrameElementImpl,2,1,0,3,16,16,0
