dataset,model,feature_family,accuracy,precision,recall,f1,auc
jitfine,RF,Metrics-only,0.8217153284671533,0.2053990610328638,0.3684210526315789,0.2637528259231348,0.7012557968347441
jitfine,RF,TF-IDF-only,0.9083941605839416,0.1351351351351351,0.0105263157894736,0.01953125,0.6785025500814974
jitfine,RF,Hybrid,0.8093065693430657,0.2097759674134419,0.4336842105263158,0.2827728208647906,0.7237074504442926
jitfine,XGB,Metrics-only,0.8182481751824817,0.2069741282339707,0.3873684210526316,0.2697947214076246,0.7008202323991798
jitfine,XGB,TF-IDF-only,0.912956204379562,0.4375,0.0147368421052631,0.0285132382892057,0.6663054839896945
jitfine,XGB,Hybrid,0.8215328467153284,0.2220994475138121,0.4231578947368421,0.2913043478260869,0.7437686524002313
jitfine,LGBM,Metrics-only,0.8259124087591241,0.2068543451652386,0.3557894736842105,0.261609907120743,0.6850353856669645
jitfine,LGBM,TF-IDF-only,0.9091240875912407,0.2909090909090909,0.0336842105263157,0.060377358490566,0.6557040853882959
jitfine,LGBM,Hybrid,0.8412408759124088,0.237017310252996,0.3747368421052631,0.2903752039151713,0.7282496450917504
openstack,RF,Metrics-only,0.772351615326822,0.3087431693989071,0.6932515337423313,0.4272211720226843,0.8255473149004118
openstack,RF,TF-IDF-only,0.8069120961682945,0.3041666666666666,0.4478527607361963,0.3622828784119106,0.7362646020674006
openstack,RF,Hybrid,0.7505634861006761,0.2860759493670886,0.6932515337423313,0.4050179211469534,0.8212769980670646
openstack,XGB,Metrics-only,0.7806160781367393,0.3193277310924369,0.6993865030674846,0.4384615384615384,0.8300434910496679
openstack,XGB,TF-IDF-only,0.8039068369646882,0.3129770992366412,0.5030674846625767,0.3858823529411764,0.7552788049415917
openstack,XGB,Hybrid,0.7535687453042825,0.3031026252983294,0.7791411042944786,0.436426116838488,0.8428229262963274
openstack,LGBM,Metrics-only,0.7738542449286251,0.3135135135135135,0.7116564417177914,0.4352720450281426,0.8287750021010168
openstack,LGBM,TF-IDF-only,0.7753568745304282,0.2901234567901234,0.5766871165644172,0.3860369609856263,0.7516939448693167
openstack,LGBM,Hybrid,0.7678437265214124,0.3193069306930693,0.7914110429447853,0.455026455026455,0.840333221279099
qt,RF,Metrics-only,0.8953714507973551,0.2912621359223301,0.3278688524590163,0.3084832904884318,0.7924572772789267
qt,RF,TF-IDF-only,0.9179307662388176,0.28125,0.0983606557377049,0.145748987854251,0.6891515867131651
qt,RF,Hybrid,0.8728121353558926,0.2517241379310345,0.3989071038251366,0.3086680761099366,0.7871072118333013
qt,XGB,Metrics-only,0.8883702839362115,0.2719298245614035,0.3387978142076502,0.3017031630170316,0.7937970819489066
qt,XGB,TF-IDF-only,0.90976273823415,0.2666666666666666,0.1530054644808743,0.1944444444444444,0.7116937144740094
qt,XGB,Hybrid,0.8537534033450019,0.2556962025316455,0.5519125683060109,0.3494809688581315,0.8184181380490796
qt,LGBM,Metrics-only,0.897705173084403,0.3058252427184466,0.3442622950819672,0.3239074550128534,0.8030361278157637
qt,LGBM,TF-IDF-only,0.9012057565149748,0.261744966442953,0.2131147540983606,0.2349397590361445,0.7175380545715828
qt,LGBM,Hybrid,0.8654220147802412,0.2729805013927576,0.5355191256830601,0.3616236162361623,0.823958133106333
