dataset_name,model,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_created_at,artifact_group_key,artifact_id,source_results_table,baseline_source_file,baseline_random_seed,baseline_test_size,baseline_configured_models,baseline_configured_metrics,baseline_num_train_rows,baseline_num_val_rows,baseline_num_test_rows,baseline_num_features,baseline_selected_metrics,baseline_missing_metrics,baseline_dropped_all_nan_metrics,baseline_decision_threshold,baseline_threshold_precision_floor,baseline_threshold_constraint_met,baseline_threshold_selection_metric,baseline_threshold_selection_strategy,baseline_threshold_val_precision,baseline_threshold_val_recall,baseline_threshold_val_f1,baseline_threshold_val_auc,baseline_selection_data_source,baseline_test_metrics_report_only,baseline_train_accuracy,baseline_train_precision,baseline_train_recall,baseline_train_f1,baseline_train_auc,baseline_val_accuracy,baseline_val_precision,baseline_val_recall,baseline_val_f1,baseline_val_auc,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_auc,baseline_gap_train_test_accuracy,baseline_gap_train_test_precision,baseline_gap_train_test_recall,baseline_gap_train_test_f1,baseline_gap_train_test_auc,baseline_gap_train_val_accuracy,baseline_gap_train_val_precision,baseline_gap_train_val_recall,baseline_gap_train_val_f1,baseline_gap_train_val_auc,baseline_model_path,baseline_metrics_num_features,baseline_tfidf_num_features,baseline_tfidf_vocabulary_size,baseline_has_commit_text,baseline_threshold_strategy_requested,baseline_split_manifest_path,baseline_split_manifest_hash,baseline_split_mode,baseline_val_size,baseline_use_saved_splits,baseline_feature_mode,baseline_rank_within_dataset,tuned_source_file,tuned_random_seed,tuned_num_train_rows,tuned_num_val_rows,tuned_num_test_rows,tuned_num_features,tuned_train_num_clean,tuned_train_num_defective,tuned_test_num_clean,tuned_test_num_defective,tuned_selected_metrics,tuned_missing_metrics,tuned_dropped_all_nan_metrics,tuned_decision_threshold,tuned_threshold_precision_floor,tuned_threshold_constraint_met,tuned_threshold_selection_metric,tuned_threshold_selection_strategy,tuned_threshold_val_precision,tuned_threshold_val_recall,tuned_threshold_val_f1,tuned_threshold_val_auc,tuned_cv_folds,tuned_cv_mean_precision,tuned_cv_std_precision,tuned_cv_mean_recall,tuned_cv_std_recall,tuned_cv_mean_f1,tuned_cv_std_f1,tuned_cv_mean_auc,tuned_cv_std_auc,tuned_selection_data_source,tuned_test_metrics_report_only,tuned_train_accuracy,tuned_train_precision,tuned_train_recall,tuned_train_f1,tuned_train_auc,tuned_val_accuracy,tuned_val_precision,tuned_val_recall,tuned_val_f1,tuned_val_auc,tuned_accuracy,tuned_precision,tuned_recall,tuned_f1,tuned_auc,tuned_gap_train_test_accuracy,tuned_gap_train_test_precision,tuned_gap_train_test_recall,tuned_gap_train_test_f1,tuned_gap_train_test_auc,tuned_gap_train_val_accuracy,tuned_gap_train_val_precision,tuned_gap_train_val_recall,tuned_gap_train_val_f1,tuned_gap_train_val_auc,tuned_model_path,tuned_candidate_index,tuned_split_mode,tuned_split_manifest_path,tuned_val_num_clean,tuned_val_num_defective,tuned_params_json,tuned_threshold_strategy_requested,tuned_selection_strategy,tuned_selection_metric,delta_recall,delta_f1,delta_auc,delta_precision,delta_accuracy,comparison_schema_version,comparison_mode
cm1,lgbm,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::lgbm,cm1::lgbm::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42.0,348.0,49.0,101.0,5.0,314.0,34.0,91.0,10.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.0710983273386911,0.3,False,val_f1,fallback_max_f1_precision_floor_unmet,0.1282051282051282,1.0,0.2272727272727272,0.4340909090909091,5.0,0.2499758960067515,0.0725406151063348,0.7714285714285715,0.2649605284427344,0.3710002278423331,0.1010117982898851,0.8351998146929022,0.0932275767686693,validation_threshold,True,0.3390804597701149,0.1287878787878787,1.0,0.2281879194630872,0.9165417759460472,0.3061224489795918,0.1282051282051282,1.0,0.2272727272727272,0.4340909090909091,0.3168316831683168,0.1066666666666666,0.8,0.188235294117647,0.610989010989011,0.022248776601798,0.0221212121212121,0.1999999999999999,0.0399526253454401,0.3055527649570362,0.032958010790523,0.0005827505827505,0.0,0.0009151921903599,0.4824508668551381,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate3.joblib,3.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,44.0,5.0,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
cm1,rf,metrics_only,metrics_only,,False,paper-v1,training,,cm1::rf,cm1::rf::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42.0,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348.0,49.0,101.0,5.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.6625548407953382,0.3,True,val_recall,max_recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.4818181818181818,validation,True,0.9511494252873564,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.9690427126264518,0.8571428571428571,0.0,0.0,0.0,0.4818181818181818,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6027472527472528,0.0699613064754751,0.4408602150537634,0.5058823529411764,0.4884615384615385,0.366295459879199,0.0940065681444992,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.48722453080827,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_cm1.joblib,5.0,0.0,0.0,False,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics_only,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper-v1,frozen_baseline_vs_tuned
cm1,rf,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::rf,cm1::rf::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42.0,348.0,49.0,101.0,5.0,314.0,34.0,91.0,10.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.6723309067105504,0.3,True,val_recall,max_recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.525,5.0,0.3135854341736694,0.1365775316557412,0.5619047619047619,0.1487666604934601,0.3886420596946913,0.115417435155356,0.8178601906712506,0.0790709927884579,validation_threshold,True,0.9396551724137931,0.7241379310344828,0.6176470588235294,0.6666666666666666,0.9531659797677032,0.8775510204081632,0.3333333333333333,0.2,0.25,0.525,0.8712871287128713,0.2857142857142857,0.2,0.2352941176470588,0.5873626373626373,0.0683680437009218,0.438423645320197,0.4176470588235294,0.4313725490196078,0.3658033424050659,0.0621041520056299,0.3908045977011494,0.4176470588235294,0.4166666666666666,0.4281659797677032,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate3.joblib,3.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,44.0,5.0,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 250}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
cm1,xgb,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::xgb,cm1::xgb::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42.0,348.0,49.0,101.0,5.0,314.0,34.0,91.0,10.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.75566166639328,0.3,True,val_recall,max_recall_with_precision_floor,0.5,0.2,0.2857142857142857,0.425,5.0,0.2593650793650793,0.0704919187368725,0.7428571428571429,0.2618614682831908,0.3778978978978979,0.099705069075114,0.8265111062346084,0.0802636873178742,validation_threshold,True,0.9281609195402298,0.6956521739130435,0.4705882352941176,0.5614035087719298,0.9134507306107156,0.8979591836734694,0.5,0.2,0.2857142857142857,0.425,0.8910891089108911,0.4,0.2,0.2666666666666666,0.6082417582417583,0.0370718106293387,0.2956521739130434,0.2705882352941176,0.2947368421052631,0.3052089723689573,0.0302017358667604,0.1956521739130434,0.2705882352941176,0.2756892230576441,0.4884507306107155,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,2.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,44.0,5.0,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
jitfine,lgbm,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jitfine::lgbm,jitfine::lgbm::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42.0,16374.0,5465.0,5480.0,13.0,14984.0,1390.0,5005.0,475.0,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.596460055379883,0.3,True,val_recall,max_recall_with_precision_floor,0.3052959501557632,0.4197002141327623,0.3534715960324617,0.7578693147494543,5.0,0.2066610522825505,0.0068192546560245,0.7050359712230214,0.0289562759676231,0.3195304491787898,0.0096556322697501,0.7915812661136962,0.0107168006600977,validation_threshold,True,0.8221570782948577,0.2689738919247116,0.637410071942446,0.3783091374893254,0.8304338296581102,0.8688014638609333,0.3052959501557632,0.4197002141327623,0.3534715960324617,0.7578693147494543,0.8259124087591241,0.2068543451652386,0.3557894736842105,0.261609907120743,0.6850353856669645,-0.0037553304642663,0.0621195467594729,0.2816205982582355,0.1166992303685823,0.1453984439911456,-0.0466443855660755,-0.0363220582310516,0.2177098578096837,0.0248375414568636,0.0725645149086559,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\lgbm_candidate1.joblib,1.0,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,4998.0,467.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 2.0, ""subsample"": 0.8}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
jitfine,rf,metrics_only,metrics_only,,False,paper-v1,training,,jitfine::rf,jitfine::rf::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42.0,0.2,"rf,xgb,lgbm","la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",16374.0,5465.0,5480.0,13.0,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.536900589669828,0.3,True,val_recall,max_recall_with_precision_floor,0.3001464128843338,0.4389721627408993,0.3565217391304348,0.7790975062401834,validation,True,0.8156834005130085,0.2764964305326743,0.7244604316546762,0.4002384737678855,0.8792111585691403,0.8645928636779506,0.3001464128843338,0.4389721627408993,0.3565217391304348,0.7790975062401834,0.8354014598540146,0.2187088274044795,0.3494736842105263,0.2690437601296596,0.6939182922340815,-0.0197180593410061,0.0577876031281947,0.3749867474441499,0.1311947136382258,0.1852928663350588,-0.0489094631649421,-0.0236499823516594,0.2854882689137769,0.0437167346374507,0.1001136523289569,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_jitfine.joblib,13.0,0.0,0.0,False,recall_with_precision_floor,.,,jitline_native_split,0.1,False,metrics_only,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper-v1,frozen_baseline_vs_tuned
jitfine,rf,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jitfine::rf,jitfine::rf::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42.0,16374.0,5465.0,5480.0,13.0,14984.0,1390.0,5005.0,475.0,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5779274800843901,0.3,True,val_recall,max_recall_with_precision_floor,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,5.0,0.1990159924655638,0.0075456859972644,0.6827338129496402,0.0410387358185659,0.3080452522037572,0.0117580677330803,0.7790115404839513,0.0116884035591885,validation_threshold,True,0.8110418956882863,0.2560137457044673,0.6431654676258993,0.3662433428922573,0.8283052042082297,0.8649588289112534,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,0.8217153284671533,0.2053990610328638,0.3684210526315789,0.2637528259231348,0.7012557968347441,-0.010673432778867,0.0506146846716034,0.2747444149943204,0.1024905169691224,0.1270494073734855,-0.053916933222967,-0.0501378995029718,0.1849213562768629,-0.0008235524765248,0.0401479712936505,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\rf_candidate1.joblib,1.0,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,4998.0,467.0,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
jitfine,xgb,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jitfine::xgb,jitfine::xgb::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42.0,16374.0,5465.0,5480.0,13.0,14984.0,1390.0,5005.0,475.0,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5879729986190796,0.3,True,val_recall,max_recall_with_precision_floor,0.3018597997138769,0.4518201284796574,0.3619210977701543,0.7838482287990143,5.0,0.1972463383824269,0.0070783696159474,0.706474820143885,0.0353617431005597,0.3082777698498811,0.0106815636039708,0.7870281672319482,0.0115036170220343,validation_threshold,True,0.8076829119335532,0.2506379359228806,0.6359712230215827,0.3595688427903193,0.808824256665143,0.8638609332113449,0.3018597997138769,0.4518201284796574,0.3619210977701543,0.7838482287990143,0.8182481751824817,0.2069741282339707,0.3873684210526316,0.2697947214076246,0.7008202323991798,-0.0105652632489284,0.0436638076889098,0.2486028019689511,0.0897741213826947,0.1080040242659632,-0.0561780212777917,-0.0512218637909963,0.1841510945419253,-0.002352254979835,0.0249760278661287,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\xgb_candidate1.joblib,1.0,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,4998.0,467.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 2.0, ""subsample"": 0.8}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
jm1,lgbm,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jm1::lgbm,jm1::lgbm::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,42.0,9242.0,1320.0,2642.0,5.0,7770.0,1472.0,2221.0,421.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.5304210683164149,0.3,True,val_recall,max_recall_with_precision_floor,0.3045563549160671,0.6047619047619047,0.405103668261563,0.7251866151866152,5.0,0.283777766094489,0.0162783598174948,0.6324801106883432,0.0188733337411407,0.3915769005746764,0.0178217272969232,0.7216534197388574,0.0159770946299946,validation_threshold,True,0.7283055615667604,0.3234794427454978,0.6467391304347826,0.4312570781426953,0.7662680197666611,0.7174242424242424,0.3045563549160671,0.6047619047619047,0.405103668261563,0.7251866151866152,0.708554125662377,0.293491124260355,0.5890736342042755,0.3917851500789889,0.7339998994696488,0.0197514359043834,0.0299883184851427,0.057665496230507,0.0394719280637064,0.0322681202970123,0.0108813191425179,0.0189230878294306,0.0419772256728778,0.0261534098811323,0.0410814045800459,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate3.joblib,3.0,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,1110.0,210.0,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 4.0, ""subsample"": 0.75}",recall_with_precision_floor,best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,,,,,,paper-v1,frozen_baseline_vs_tuned
jm1,rf,metrics_only,metrics_only,,False,paper-v1,training,,jm1::rf,jm1::rf::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\jm1_experiment.parquet,42.0,0.2,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",9242.0,1320.0,2642.0,5.0,"loc,v(g),ev(g),iv(g),branchCount",,,0.4954679663570979,0.3,True,val_recall,max_recall_with_precision_floor,0.3006833712984054,0.6285714285714286,0.4067796610169492,0.7286314886314886,validation,True,0.7292793767582775,0.3325747724317295,0.6949728260869565,0.449868073878628,0.7901427679620615,0.7075757575757575,0.2990867579908676,0.6238095238095238,0.404320987654321,0.7286314886314886,0.7009841029523088,0.2905788876276958,0.6080760095011877,0.3932411674347158,0.732697282792947,0.0282952738059686,0.0419958848040337,0.0868968165857688,0.0566269064439121,0.0574454851691145,0.0217036191825199,0.0334880144408619,0.0711633022774327,0.0455470862243069,0.0615112793305728,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_jm1.joblib,5.0,0.0,0.0,False,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,880b1f6e0cf37f271b855a8bec830726a0bed1dabdda97a0492084710042abce,saved_split,0.1,True,metrics_only,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper-v1,frozen_baseline_vs_tuned
