dataset_name,model,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,label,module_id,project_name,probability,prediction,decision_threshold,is_correct,error_type,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_id,artifact_group_key,artifact_created_at,source_results_table,model_path,split_mode,split_manifest_path,feature_metadata_json,num_features,training_mode,selection_rank,selected_reason,commit_text,la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp,jitline_split,commit_id,ent,nrev,rtime,hcmt,self,app,aexp,arexp,rrexp,asexp,rsexp,asawr,rsawr,N,V,L,D,I,E,B,T
cm1,xgb,24.0,6.0,6.0,2.0,72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0.0,0.0,3.0,0.0,16.0,12.0,46.0,26.0,11.0,0,row_5,cm1,0.1357317566871643,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,24.0,5.0,1.0,2.0,120.0,655.13,0.07,15.2,43.1,9958.0,0.22,553.22,3.0,20.0,23.0,0.0,19.0,25.0,80.0,40.0,9.0,0,row_15,cm1,0.21018563210964203,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,3.0,1.0,1.0,1.0,14.0,48.43,0.23,4.38,11.07,211.89,0.02,11.77,0.0,0.0,0.0,0.0,7.0,4.0,9.0,5.0,1.0,0,row_21,cm1,0.28207138180732727,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,7.0,1.0,1.0,1.0,29.0,110.41,0.21,4.88,22.65,538.26,0.04,29.9,0.0,0.0,0.0,0.0,6.0,8.0,16.0,13.0,1.0,0,row_22,cm1,0.08814793080091476,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,65.0,12.0,1.0,1.0,541.0,3327.01,0.02,42.02,79.18,139798.54,1.11,7766.59,5.0,95.0,33.0,0.0,19.0,52.0,311.0,230.0,23.0,0,row_28,cm1,0.5687987208366394,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,27.0,5.0,3.0,3.0,108.0,540.0,0.05,21.86,24.71,11802.86,0.18,655.71,4.0,5.0,7.0,0.0,18.0,14.0,74.0,34.0,9.0,0,row_35,cm1,0.31855422258377075,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,6.0,1.0,1.0,1.0,11.0,30.88,0.38,2.67,11.58,82.35,0.01,4.57,1.0,2.0,0.0,0.0,4.0,3.0,7.0,4.0,1.0,0,row_48,cm1,0.0904851034283638,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,48.0,7.0,1.0,7.0,250.0,1626.95,0.07,14.23,114.37,23143.92,0.54,1285.77,4.0,28.0,39.0,0.0,20.0,71.0,149.0,101.0,13.0,0,row_49,cm1,0.7413133382797241,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,127.0,10.0,1.0,10.0,737.0,5334.7,0.04,24.9,214.24,132838.37,1.78,7379.91,4.0,31.0,77.0,0.0,25.0,126.0,486.0,251.0,19.0,0,row_50,cm1,0.9134412407875061,1,0.75566166639328,False,fp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,21.0,4.0,1.0,4.0,77.0,391.73,0.13,7.64,51.3,2991.43,0.13,166.19,0.0,23.0,55.0,0.0,12.0,22.0,49.0,28.0,7.0,0,row_51,cm1,0.5107616782188416,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,41.0,6.0,1.0,5.0,169.0,985.76,0.06,17.21,57.28,16963.26,0.33,942.4,3.0,47.0,40.0,0.0,21.0,36.0,110.0,59.0,11.0,0,row_53,cm1,0.6042856574058533,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,8.0,2.0,1.0,1.0,36.0,158.12,0.18,5.5,28.75,869.68,0.05,48.32,0.0,6.0,7.0,0.0,11.0,10.0,26.0,10.0,3.0,0,row_55,cm1,0.05413351207971573,0,0.75566166639328,True,tn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
