dataset_name,model,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,label,module_id,project_name,probability,prediction,decision_threshold,is_correct,error_type,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_id,artifact_group_key,artifact_created_at,source_results_table,model_path,split_mode,split_manifest_path,feature_metadata_json,num_features,training_mode,selection_rank,selected_reason,confidence,representative_group,top_shap_feature_1,top_shap_feature_2,top_shap_feature_3,top_shap_features,commit_text,la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp,jitline_split,commit_id,ent,nrev,rtime,hcmt,self,app,aexp,arexp,rrexp,asexp,rsexp,asawr,rsawr,N,V,L,D,I,E,B,T
cm1,xgb,82.0,11.0,3.0,10.0,475.0,3155.83,0.02,44.71,70.59,141084.24,1.05,7838.01,9.0,59.0,35.0,0.0,32.0,68.0,285.0,190.0,21.0,1,row_495,cm1,0.9040049314498901,1,0.75566166639328,True,tp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.9040049314498901,tp,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,59.0,7.0,1.0,7.0,349.0,2318.71,0.05,22.14,104.75,51324.87,0.77,2851.38,16.0,23.0,32.0,0.0,26.0,74.0,223.0,126.0,13.0,1,row_478,cm1,0.7640597820281982,1,0.75566166639328,True,tp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7640597820281982,tp,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,10.0,2.0,1.0,1.0,32.0,150.41,0.15,6.5,23.14,977.69,0.05,54.32,1.0,12.0,4.0,0.0,13.0,13.0,19.0,13.0,3.0,1,row_496,cm1,0.05413351207971573,0,0.75566166639328,False,fn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.9458664655685425,fn,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,7.0,1.0,1.0,1.0,30.0,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0.0,0.0,0.0,0.0,9.0,8.0,20.0,10.0,1.0,1,row_485,cm1,0.08814793080091476,0,0.75566166639328,False,fn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.9118520617485046,fn,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,22.0,5.0,5.0,3.0,84.0,440.83,0.08,12.55,35.13,5531.32,0.15,307.3,0.0,17.0,9.0,0.0,17.0,21.0,53.0,31.0,9.0,1,row_477,cm1,0.21647976338863373,0,0.75566166639328,False,fn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7835202217102051,fn,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,28.0,6.0,5.0,5.0,104.0,564.33,0.06,16.09,35.08,9078.38,0.19,504.35,2.0,7.0,0.0,0.0,20.0,23.0,67.0,37.0,11.0,1,row_497,cm1,0.260375052690506,0,0.75566166639328,False,fn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7396249771118164,fn,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,13.0,3.0,1.0,3.0,38.0,164.23,0.14,7.33,22.4,1204.38,0.05,66.91,2.0,0.0,0.0,0.0,11.0,9.0,26.0,12.0,5.0,1,row_474,cm1,0.28985175490379333,0,0.75566166639328,False,fn,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7101482152938843,fn,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,127.0,10.0,1.0,10.0,737.0,5334.7,0.04,24.9,214.24,132838.37,1.78,7379.91,4.0,31.0,77.0,0.0,25.0,126.0,486.0,251.0,19.0,0,row_50,cm1,0.9134412407875061,1,0.75566166639328,False,fp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.9134412407875061,fp,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,92.0,15.0,15.0,15.0,466.0,2643.35,0.02,57.0,46.37,150670.96,0.88,8370.61,27.0,41.0,67.0,0.0,19.0,32.0,274.0,192.0,29.0,0,row_188,cm1,0.7839438915252686,1,0.75566166639328,False,fp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7839438915252686,fp,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cm1,xgb,55.0,9.0,1.0,3.0,292.0,1738.63,0.03,33.32,52.18,57931.89,0.58,3218.44,12.0,20.0,10.0,0.0,23.0,39.0,179.0,113.0,17.0,0,row_152,cm1,0.7560991048812866,1,0.75566166639328,False,fp,metrics_only,metrics_only,,False,paper-v1,error_analysis,cm1::xgb::tuned_best_table,cm1::xgb,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,"{'feature_family': 'metrics_only', 'num_features': 5}",5,tuned,1,Selected by recall then f1 using validation_threshold metrics within dataset under policy hybrid_validation_then_tuned,0.7560991048812866,fp,loc,iv_g,v_g,"loc,iv_g,v_g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
