dataset_name,comparison,metric,n_test_rows,n_test_positive,n_bootstrap_iters,n_permutation_iters,alpha,baseline_model,hybrid_model,point_baseline,ci_baseline_low,ci_baseline_high,point_hybrid,ci_hybrid_low,ci_hybrid_high,delta,delta_ci_low,delta_ci_high,permutation_p_value,permutation_n_iter_effective,delong_z,delong_p_value,delong_auc_diff,permutation_p_value_bh,permutation_significant_bh,delong_p_value_bh,delong_significant_bh
cm1,baseline_only,auc,101,10,300,300,0.05,xgb_tuned,,0.6082417582417583,0.39885752688172044,0.8110222672064776,,,,,,,,0,,,,,False,,False
cm1,baseline_only,f1,101,10,300,300,0.05,xgb_tuned,,0.26666666666666666,0.0,0.5238636363636353,,,,,,,,0,,,,,False,,False
cm1,baseline_only,precision,101,10,300,300,0.05,xgb_tuned,,0.4,0.0,1.0,,,,,,,,0,,,,,False,,False
cm1,baseline_only,recall,101,10,300,300,0.05,xgb_tuned,,0.2,0.0,0.4444444444444444,,,,,,,,0,,,,,False,,False
jitfine,baseline_only,auc,5480,475,300,300,0.05,rf,,0.7012557968347441,0.6774223520132812,0.7268291649481452,,,,,,,,0,,,,,False,,False
jitfine,baseline_only,f1,5480,475,300,300,0.05,rf,,0.26375282592313487,0.22973525294532376,0.29759994664430806,,,,,,,,0,,,,,False,,False
jitfine,baseline_only,precision,5480,475,300,300,0.05,rf,,0.20539906103286384,0.17776480245227239,0.2358162380915769,,,,,,,,0,,,,,False,,False
jitfine,baseline_only,recall,5480,475,300,300,0.05,rf,,0.3684210526315789,0.32177008104732296,0.4124657259859343,,,,,,,,0,,,,,False,,False
jitfine,baseline_vs_hybrid_tfidf,auc,5480,475,300,300,0.05,rf,rf_hybrid_tfidf,0.7012557968347441,0.6774223520132812,0.7268291649481452,0.7237074504442926,0.7007766266255354,0.748628640907833,0.022451653609548483,0.013096415996130772,0.03401474302373006,0.03322259136212625,300,4.030821879279857,5.558215447876158e-05,0.022451653609548483,0.079734219269103,False,0.00016674646343628474,True
jitfine,baseline_vs_hybrid_tfidf,f1,5480,475,300,300,0.05,rf,rf_hybrid_tfidf,0.26375282592313487,0.22973525294532376,0.29759994664430806,0.28277282086479066,0.2517098657400902,0.31291373776753895,0.019019994941655793,-0.00038731332000089224,0.03749777680210739,0.08305647840531562,300,,,,0.1423825344091125,False,,False
jitfine,baseline_vs_hybrid_tfidf,precision,5480,475,300,300,0.05,rf,rf_hybrid_tfidf,0.20539906103286384,0.17776480245227239,0.2358162380915769,0.20977596741344195,0.18319957877530493,0.23762374949198894,0.0043769063805781105,-0.011157127153295055,0.017757935017247633,0.584717607973422,300,,,,0.637873754152824,False,,False
jitfine,baseline_vs_hybrid_tfidf,recall,5480,475,300,300,0.05,rf,rf_hybrid_tfidf,0.3684210526315789,0.32177008104732296,0.4124657259859343,0.4336842105263158,0.3875384611944437,0.47469242410754026,0.06526315789473686,0.03448275862068967,0.09591064541948625,0.0033222591362126247,300,,,,0.019933554817275746,True,,False
jm1,baseline_only,auc,2642,421,300,300,0.05,xgb_tuned,,0.7353057245618106,0.7092892192613951,0.7588462726010589,,,,,,,,0,,,,,False,,False
jm1,baseline_only,f1,2642,421,300,300,0.05,xgb_tuned,,0.4052795031055901,0.3707128544445168,0.43812307915529,,,,,,,,0,,,,,False,,False
jm1,baseline_only,precision,2642,421,300,300,0.05,xgb_tuned,,0.30103806228373703,0.270966704960691,0.3307699061869237,,,,,,,,0,,,,,False,,False
jm1,baseline_only,recall,2642,421,300,300,0.05,xgb_tuned,,0.6199524940617577,0.5796334982536085,0.6613213016989085,,,,,,,,0,,,,,False,,False
kc1,baseline_only,auc,423,65,300,300,0.05,xgb_tuned,,0.788268156424581,0.7361836718276422,0.8367748779719729,,,,,,,,0,,,,,False,,False
kc1,baseline_only,f1,423,65,300,300,0.05,xgb_tuned,,0.3783783783783784,0.3103792365500423,0.4463127093129461,,,,,,,,0,,,,,False,,False
kc1,baseline_only,precision,423,65,300,300,0.05,xgb_tuned,,0.24242424242424243,0.19069141449683322,0.29938311688311686,,,,,,,,0,,,,,False,,False
kc1,baseline_only,recall,423,65,300,300,0.05,xgb_tuned,,0.8615384615384616,0.7796491228070175,0.9249718389186145,,,,,,,,0,,,,,False,,False
openstack,baseline_only,auc,1331,163,300,300,0.05,xgb,,0.8300434910496679,0.7975347385205591,0.8573109350418054,,,,,,,,0,,,,,False,,False
openstack,baseline_only,f1,1331,163,300,300,0.05,xgb,,0.43846153846153846,0.38160950220205525,0.49246273342063246,,,,,,,,0,,,,,False,,False
openstack,baseline_only,precision,1331,163,300,300,0.05,xgb,,0.31932773109243695,0.2709840804138745,0.36636160714285715,,,,,,,,0,,,,,False,,False
openstack,baseline_only,recall,1331,163,300,300,0.05,xgb,,0.6993865030674846,0.6346078431372548,0.7651958470976874,,,,,,,,0,,,,,False,,False
