dataset_name,model,accuracy,precision,recall,f1,auc,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_created_at,source_results_table,artifact_group_key,artifact_id
cm1,lgbm,0.801980198019802,0.2222222222222222,0.4,0.2857142857142857,0.6351648351648352,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,cm1::lgbm,cm1::lgbm::evaluation_summary
cm1,rf,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6027472527472528,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,cm1::rf,cm1::rf::evaluation_summary
cm1,xgb,0.7821782178217822,0.2,0.4,0.2666666666666666,0.6252747252747253,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,cm1::xgb,cm1::xgb::evaluation_summary
jitfine,lgbm,0.8558394160583942,0.2289156626506024,0.28,0.2518939393939394,0.6587086597612914,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jitfine::lgbm,jitfine::lgbm::evaluation_summary
jitfine,rf,0.8354014598540146,0.2187088274044795,0.3494736842105263,0.2690437601296596,0.6939182922340815,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jitfine::rf,jitfine::rf::evaluation_summary
jitfine,xgb,0.8355839416058394,0.2121621621621621,0.3305263157894736,0.2584362139917695,0.6711734581208264,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jitfine::xgb,jitfine::xgb::evaluation_summary
jm1,lgbm,0.7134746404239213,0.292079207920792,0.5605700712589073,0.3840520748576078,0.7294615958016815,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jm1::lgbm,jm1::lgbm::evaluation_summary
jm1,rf,0.7009841029523088,0.2905788876276958,0.6080760095011877,0.3932411674347158,0.732697282792947,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jm1::rf,jm1::rf::evaluation_summary
jm1,xgb,0.7172596517789553,0.3040865384615384,0.6009501187648456,0.4038308060654429,0.7363153059598456,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,jm1::xgb,jm1::xgb::evaluation_summary
kc1,lgbm,0.557919621749409,0.2479338842975206,0.9230769230769232,0.3908794788273615,0.7961753330468414,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,kc1::lgbm,kc1::lgbm::evaluation_summary
kc1,rf,0.5673758865248227,0.25,0.9076923076923076,0.3920265780730897,0.8131714654061024,metrics_only,metrics_only,,False,paper-v1,evaluation_summary,2026-06-27T05:31:34,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,kc1::rf,kc1::rf::evaluation_summary
