dataset_name,model,candidate_index,split_mode,source_file,split_manifest_path,random_seed,num_train_rows,num_val_rows,num_test_rows,train_num_clean,train_num_defective,val_num_clean,val_num_defective,test_num_clean,test_num_defective,num_features,selected_metrics,missing_metrics,dropped_all_nan_metrics,params_json,model_path,cv_folds,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_auc,cv_std_auc,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_strategy_requested,threshold_val_precision,threshold_val_recall,threshold_val_f1,threshold_val_auc,threshold_selection_metric,threshold_selection_strategy,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc,gap_train_val_accuracy,gap_train_val_precision,gap_train_val_recall,gap_train_val_f1,gap_train_val_auc,gap_train_test_accuracy,gap_train_test_precision,gap_train_test_recall,gap_train_test_f1,gap_train_test_auc,selection_data_source,selection_strategy,test_metrics_report_only,selection_metric
cm1,rf,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate3.joblib,5,0.31358543417366946,0.1365775316557412,0.5619047619047619,0.1487666604934601,0.3886420596946913,0.11541743515535602,0.8178601906712506,0.0790709927884579,0.6723309067105504,0.3,True,recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.525,val_recall,max_recall_with_precision_floor,0.9396551724137931,0.7241379310344828,0.6176470588235294,0.6666666666666666,0.9531659797677032,0.8775510204081632,0.3333333333333333,0.2,0.25,0.525,0.8712871287128713,0.2857142857142857,0.2,0.23529411764705882,0.5873626373626373,0.06210415200562991,0.39080459770114945,0.4176470588235294,0.41666666666666663,0.4281659797677032,0.06836804370092187,0.43842364532019706,0.4176470588235294,0.4313725490196078,0.36580334240506596,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
cm1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,5,0.25936507936507935,0.07049191873687256,0.7428571428571429,0.26186146828319085,0.3778978978978979,0.099705069075114,0.8265111062346084,0.08026368731787424,0.75566166639328,0.3,True,recall_with_precision_floor,0.5,0.2,0.2857142857142857,0.42500000000000004,val_recall,max_recall_with_precision_floor,0.9281609195402298,0.6956521739130435,0.47058823529411764,0.5614035087719298,0.9134507306107156,0.8979591836734694,0.5,0.2,0.2857142857142857,0.42500000000000004,0.8910891089108911,0.4,0.2,0.26666666666666666,0.6082417582417583,0.03020173586676045,0.19565217391304346,0.27058823529411763,0.2756892230576441,0.48845073061071553,0.03707181062933873,0.29565217391304344,0.27058823529411763,0.29473684210526313,0.3052089723689573,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
cm1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate3.joblib,5,0.24997589600675157,0.07254061510633489,0.7714285714285715,0.2649605284427344,0.3710002278423331,0.10101179828988519,0.8351998146929022,0.0932275767686693,0.07109832733869113,0.3,False,recall_with_precision_floor,0.1282051282051282,1.0,0.22727272727272727,0.4340909090909091,val_f1,fallback_max_f1_precision_floor_unmet,0.3390804597701149,0.12878787878787878,1.0,0.22818791946308725,0.9165417759460472,0.30612244897959184,0.1282051282051282,1.0,0.22727272727272727,0.4340909090909091,0.31683168316831684,0.10666666666666667,0.8,0.18823529411764706,0.610989010989011,0.032958010790523073,0.0005827505827505908,0.0,0.0009151921903599869,0.48245086685513816,0.02224877660179808,0.02212121212121211,0.19999999999999996,0.039952625345440196,0.3055527649570362,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jitfine,rf,1,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,42,16374,5465,5480,14984,1390,4998,467,5005,475,13,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\rf_candidate1.joblib,5,0.1990159924655638,0.007545685997264433,0.6827338129496402,0.04103873581856593,0.3080452522037572,0.01175806773308039,0.7790115404839513,0.01168840355918853,0.5779274800843901,0.3,True,recall_with_precision_floor,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,val_recall,max_recall_with_precision_floor,0.8110418956882863,0.25601374570446733,0.6431654676258993,0.3662433428922573,0.8283052042082297,0.8649588289112534,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,0.8217153284671533,0.20539906103286384,0.3684210526315789,0.26375282592313487,0.7012557968347441,-0.05391693322296709,-0.05013789950297187,0.1849213562768629,-0.0008235524765248803,0.04014797129365055,-0.01067343277886701,0.05061468467160349,0.2747444149943204,0.10249051696912242,0.12704940737348558,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jitfine,xgb,1,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,42,16374,5465,5480,14984,1390,4998,467,5005,475,13,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\xgb_candidate1.joblib,5,0.19724633838242697,0.007078369615947409,0.706474820143885,0.035361743100559756,0.3082777698498811,0.010681563603970894,0.7870281672319482,0.011503617022034302,0.5879729986190796,0.3,True,recall_with_precision_floor,0.30185979971387694,0.4518201284796574,0.36192109777015435,0.7838482287990143,val_recall,max_recall_with_precision_floor,0.8076829119335532,0.25063793592288064,0.6359712230215827,0.3595688427903193,0.808824256665143,0.8638609332113449,0.30185979971387694,0.4518201284796574,0.36192109777015435,0.7838482287990143,0.8182481751824817,0.20697412823397077,0.3873684210526316,0.2697947214076246,0.7008202323991798,-0.0561780212777917,-0.0512218637909963,0.1841510945419253,-0.0023522549798350445,0.024976027866128736,-0.01056526324892848,0.04366380768890987,0.24860280196895113,0.0897741213826947,0.10800402426596323,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jitfine,lgbm,1,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,42,16374,5465,5480,14984,1390,4998,467,5005,475,13,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\lgbm_candidate1.joblib,5,0.2066610522825505,0.0068192546560245865,0.7050359712230214,0.028956275967623187,0.31953044917878987,0.009655632269750105,0.7915812661136962,0.010716800660097786,0.596460055379883,0.3,True,recall_with_precision_floor,0.3052959501557632,0.4197002141327623,0.3534715960324617,0.7578693147494543,val_recall,max_recall_with_precision_floor,0.8221570782948577,0.2689738919247116,0.637410071942446,0.3783091374893254,0.8304338296581102,0.8688014638609333,0.3052959501557632,0.4197002141327623,0.3534715960324617,0.7578693147494543,0.8259124087591241,0.20685434516523868,0.35578947368421054,0.26160990712074306,0.6850353856669645,-0.04664438556607553,-0.03632205823105161,0.21770985780968372,0.024837541456863677,0.0725645149086559,-0.0037553304642663488,0.06211954675947293,0.2816205982582355,0.11669923036858232,0.14539844399114565,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jm1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,42,9242,1320,2642,7770,1472,1110,210,2221,421,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\rf_candidate1.joblib,5,0.2863853737138029,0.015781725008663986,0.5991629194050502,0.024371102418119576,0.38722475690576647,0.0165309567487483,0.7246462779427152,0.013774972243063966,0.5068340036581894,0.3,True,recall_with_precision_floor,0.3,0.6142857142857143,0.403125,0.7277670527670528,val_recall,max_recall_with_precision_floor,0.7117507033109717,0.30786589297227596,0.6487771739130435,0.4175776125929165,0.7582129829752113,0.7106060606060606,0.3,0.6142857142857143,0.403125,0.7277670527670528,0.6990915972747919,0.2922222222222222,0.6247030878859857,0.3981831945495837,0.7347410434408759,0.001144642704911103,0.007865892972275967,0.034491459627329135,0.01445261259291647,0.030445930208158556,0.012659106036179812,0.01564367075005374,0.02407408602705774,0.019394418043332806,0.023471939534335462,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jm1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,42,9242,1320,2642,7770,1472,1110,210,2221,421,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 3.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate2.joblib,5,0.28649577574276724,0.013816971773129752,0.6202398247434566,0.017694114116944864,0.391803762070562,0.015040251921812216,0.7231426381166954,0.017043438387228875,0.5167627930641174,0.3,True,recall_with_precision_floor,0.3037383177570093,0.6190476190476191,0.40752351097178685,0.7269305019305019,val_recall,max_recall_with_precision_floor,0.7148885522614152,0.3107712333224862,0.6487771739130435,0.42024202420242024,0.7581170699037547,0.7136363636363636,0.3037383177570093,0.6190476190476191,0.40752351097178685,0.7269305019305019,0.7100681302043906,0.30103806228373703,0.6199524940617577,0.4052795031055901,0.7353057245618106,0.001252188625051609,0.0070329155654768605,0.02972955486542439,0.012718513230633388,0.03118656797325281,0.004820422057024598,0.009733171038749155,0.028824679851285784,0.014962521096830161,0.022811345341944067,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
jm1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\manifest.json,42,9242,1320,2642,7770,1472,1110,210,2221,421,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 4.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate3.joblib,5,0.28377776609448907,0.016278359817494863,0.6324801106883432,0.018873333741140735,0.3915769005746764,0.017821727296923207,0.7216534197388574,0.01597709462999466,0.5304210683164149,0.3,True,recall_with_precision_floor,0.30455635491606714,0.6047619047619047,0.405103668261563,0.7251866151866152,val_recall,max_recall_with_precision_floor,0.7283055615667604,0.3234794427454978,0.6467391304347826,0.43125707814269537,0.7662680197666611,0.7174242424242424,0.30455635491606714,0.6047619047619047,0.405103668261563,0.7251866151866152,0.708554125662377,0.293491124260355,0.5890736342042755,0.39178515007898895,0.7339998994696488,0.010881319142517998,0.01892308782943064,0.04197722567287787,0.02615340988113235,0.041081404580045944,0.01975143590438344,0.029988318485142773,0.057665496230507096,0.03947192806370642,0.032268120297012315,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
kc1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\manifest.json,42,1476,210,423,1248,228,177,33,358,65,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 150}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate1.joblib,5,0.2752110164116174,0.007894077207434633,0.728695652173913,0.09147396253746876,0.39774985565988896,0.011682458361390747,0.7795005319830045,0.01625865565959164,0.4151916113962419,0.3,True,recall_with_precision_floor,0.30927835051546393,0.9090909090909091,0.46153846153846156,0.8329053244307483,val_recall,max_recall_with_precision_floor,0.5752032520325203,0.25461254612546125,0.9078947368421053,0.3976945244956772,0.8162973037561853,0.6666666666666666,0.30927835051546393,0.9090909090909091,0.46153846153846156,0.8329053244307483,0.5626477541371159,0.24789915966386555,0.9076923076923077,0.38943894389438943,0.7994413407821228,-0.09146341463414631,-0.05466580439000268,-0.0011961722488037507,-0.06384393704278435,-0.016608020674563018,0.012555497895404444,0.006713386461595694,0.00020242914979762272,0.008255580601287782,0.016855962974062444,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True,val_recall_then_val_f1_precision_floor_0.30
