dataset_name,model,auc,f1,precision,recall,accuracy,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_selection_strategy,cv_folds,cv_mean_precision,cv_mean_recall,cv_mean_f1,cv_mean_auc,train_f1,val_precision,val_recall,val_f1,val_auc,gap_train_val_f1,gap_train_val_auc,gap_train_test_f1,gap_train_test_auc,selection_data_source,test_metrics_report_only,split_mode,candidate_index,params_json,model_path
cm1,rf,0.5873626373626373,0.23529411764705882,0.2857142857142857,0.2,0.8712871287128713,0.6723309067105504,0.3,True,max_recall_with_precision_floor,5,0.31358543417366946,0.5619047619047619,0.3886420596946913,0.8178601906712506,0.6666666666666666,0.3333333333333333,0.2,0.25,0.525,0.41666666666666663,0.4281659797677032,0.4313725490196078,0.36580334240506596,validation_threshold,True,saved_split,3,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate3.joblib
cm1,xgb,0.6082417582417583,0.26666666666666666,0.4,0.2,0.8910891089108911,0.75566166639328,0.3,True,max_recall_with_precision_floor,5,0.25936507936507935,0.7428571428571429,0.3778978978978979,0.8265111062346084,0.5614035087719298,0.5,0.2,0.2857142857142857,0.42500000000000004,0.2756892230576441,0.48845073061071553,0.29473684210526313,0.3052089723689573,validation_threshold,True,saved_split,2,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib
cm1,lgbm,0.610989010989011,0.18823529411764706,0.10666666666666667,0.8,0.31683168316831684,0.07109832733869113,0.3,False,fallback_max_f1_precision_floor_unmet,5,0.24997589600675157,0.7714285714285715,0.3710002278423331,0.8351998146929022,0.22818791946308725,0.1282051282051282,1.0,0.22727272727272727,0.4340909090909091,0.0009151921903599869,0.48245086685513816,0.039952625345440196,0.3055527649570362,validation_threshold,True,saved_split,3,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate3.joblib
jitfine,rf,0.7012557968347441,0.26375282592313487,0.20539906103286384,0.3684210526315789,0.8217153284671533,0.5779274800843901,0.3,True,max_recall_with_precision_floor,5,0.1990159924655638,0.6827338129496402,0.3080452522037572,0.7790115404839513,0.3662433428922573,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,-0.0008235524765248803,0.04014797129365055,0.10249051696912242,0.12704940737348558,validation_threshold,True,jitline_native_split,1,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\rf_candidate1.joblib
jitfine,xgb,0.7008202323991798,0.2697947214076246,0.20697412823397077,0.3873684210526316,0.8182481751824817,0.5879729986190796,0.3,True,max_recall_with_precision_floor,5,0.19724633838242697,0.706474820143885,0.3082777698498811,0.7870281672319482,0.3595688427903193,0.30185979971387694,0.4518201284796574,0.36192109777015435,0.7838482287990143,-0.0023522549798350445,0.024976027866128736,0.0897741213826947,0.10800402426596323,validation_threshold,True,jitline_native_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\xgb_candidate1.joblib
jitfine,lgbm,0.6850353856669645,0.26160990712074306,0.20685434516523868,0.35578947368421054,0.8259124087591241,0.596460055379883,0.3,True,max_recall_with_precision_floor,5,0.2066610522825505,0.7050359712230214,0.31953044917878987,0.7915812661136962,0.3783091374893254,0.3052959501557632,0.4197002141327623,0.3534715960324617,0.7578693147494543,0.024837541456863677,0.0725645149086559,0.11669923036858232,0.14539844399114565,validation_threshold,True,jitline_native_split,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_lambda"": 2.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\lgbm_candidate1.joblib
jm1,rf,0.7347410434408759,0.3981831945495837,0.2922222222222222,0.6247030878859857,0.6990915972747919,0.5068340036581894,0.3,True,max_recall_with_precision_floor,5,0.2863853737138029,0.5991629194050502,0.38722475690576647,0.7246462779427152,0.4175776125929165,0.3,0.6142857142857143,0.403125,0.7277670527670528,0.01445261259291647,0.030445930208158556,0.019394418043332806,0.023471939534335462,validation_threshold,True,saved_split,1,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\rf_candidate1.joblib
jm1,xgb,0.7353057245618106,0.4052795031055901,0.30103806228373703,0.6199524940617577,0.7100681302043906,0.5167627930641174,0.3,True,max_recall_with_precision_floor,5,0.28649577574276724,0.6202398247434566,0.391803762070562,0.7231426381166954,0.42024202420242024,0.3037383177570093,0.6190476190476191,0.40752351097178685,0.7269305019305019,0.012718513230633388,0.03118656797325281,0.014962521096830161,0.022811345341944067,validation_threshold,True,saved_split,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 250, ""reg_lambda"": 3.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\xgb_candidate2.joblib
jm1,lgbm,0.7339998994696488,0.39178515007898895,0.293491124260355,0.5890736342042755,0.708554125662377,0.5304210683164149,0.3,True,max_recall_with_precision_floor,5,0.28377776609448907,0.6324801106883432,0.3915769005746764,0.7216534197388574,0.43125707814269537,0.30455635491606714,0.6047619047619047,0.405103668261563,0.7251866151866152,0.02615340988113235,0.041081404580045944,0.03947192806370642,0.032268120297012315,validation_threshold,True,saved_split,3,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 30, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 4.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jm1\lgbm_candidate3.joblib
kc1,rf,0.7994413407821228,0.38943894389438943,0.24789915966386555,0.9076923076923077,0.5626477541371159,0.4151916113962419,0.3,True,max_recall_with_precision_floor,5,0.2752110164116174,0.728695652173913,0.39774985565988896,0.7795005319830045,0.3976945244956772,0.30927835051546393,0.9090909090909091,0.46153846153846156,0.8329053244307483,-0.06384393704278435,-0.016608020674563018,0.008255580601287782,0.016855962974062444,validation_threshold,True,saved_split,1,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 150}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\kc1\rf_candidate1.joblib
