dataset_name,model,candidate_index,split_mode,source_file,split_manifest_path,random_seed,num_train_rows,num_val_rows,num_test_rows,train_num_clean,train_num_defective,val_num_clean,val_num_defective,test_num_clean,test_num_defective,num_features,selected_metrics,missing_metrics,dropped_all_nan_metrics,params_json,model_path,cv_folds,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_auc,cv_std_auc,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_strategy_requested,threshold_val_precision,threshold_val_recall,threshold_val_f1,threshold_val_auc,threshold_selection_metric,threshold_selection_strategy,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc,gap_train_val_accuracy,gap_train_val_precision,gap_train_val_recall,gap_train_val_f1,gap_train_val_auc,gap_train_test_accuracy,gap_train_test_precision,gap_train_test_recall,gap_train_test_f1,gap_train_test_auc,selection_data_source,selection_strategy,test_metrics_report_only
cm1,rf,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 150}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate1.joblib,5,0.29477298064254587,0.07603435857785665,0.6571428571428571,0.24907993963089564,0.40008506113769265,0.10865778781724598,0.8319118328334918,0.09022096258872024,0.6466025651266369,0.3,True,recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.4613636363636363,val_recall,max_recall_with_precision_floor,0.9252873563218391,0.625,0.5882352941176471,0.6060606060606061,0.9426283252154365,0.8775510204081632,0.3333333333333333,0.2,0.25,0.4613636363636363,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6208791208791209,0.047736335913675876,0.2916666666666667,0.38823529411764707,0.3560606060606061,0.4812646888518002,0.04409923750995792,0.2916666666666667,0.38823529411764707,0.3560606060606061,0.3217492043363156,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,rf,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 200}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate2.joblib,5,0.306326903230928,0.10865426236396752,0.5952380952380952,0.18319413392067949,0.39265152848676876,0.10474213180606128,0.821573647380099,0.08271843675722802,0.660463941162286,0.3,True,recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.49772727272727274,val_recall,max_recall_with_precision_floor,0.9396551724137931,0.696969696969697,0.6764705882352942,0.6865671641791045,0.9559291869614087,0.8571428571428571,0.0,0.0,0.0,0.49772727272727274,0.8712871287128713,0.2857142857142857,0.2,0.23529411764705882,0.5923076923076923,0.08251231527093605,0.696969696969697,0.6764705882352942,0.6865671641791045,0.458201914234136,0.06836804370092187,0.4112554112554113,0.47647058823529415,0.45127304653204564,0.3636214946537164,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,rf,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate3.joblib,5,0.31358543417366946,0.1365775316557412,0.5619047619047619,0.1487666604934601,0.3886420596946913,0.11541743515535602,0.8178601906712506,0.0790709927884579,0.6723309067105504,0.3,True,recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.525,val_recall,max_recall_with_precision_floor,0.9396551724137931,0.7241379310344828,0.6176470588235294,0.6666666666666666,0.9531659797677032,0.8775510204081632,0.3333333333333333,0.2,0.25,0.525,0.8712871287128713,0.2857142857142857,0.2,0.23529411764705882,0.5873626373626373,0.06210415200562991,0.39080459770114945,0.4176470588235294,0.41666666666666663,0.4281659797677032,0.06836804370092187,0.43842364532019706,0.4176470588235294,0.4313725490196078,0.36580334240506596,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,xgb,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 120, ""reg_lambda"": 4.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate1.joblib,5,0.2567676767676768,0.06970808858515609,0.7428571428571429,0.26186146828319085,0.37472329472329474,0.09776960399166487,0.8339087606368711,0.09493377251304029,0.08490080386400223,0.3,False,recall_with_precision_floor,0.11764705882352941,0.8,0.20512820512820512,0.4613636363636364,val_f1,fallback_max_f1_precision_floor_unmet,0.4540229885057471,0.15178571428571427,1.0,0.26356589147286824,0.922489696515549,0.3673469387755102,0.11764705882352941,0.8,0.20512820512820512,0.4613636363636364,0.40594059405940597,0.12121212121212122,0.8,0.21052631578947367,0.6214285714285716,0.0866760497302369,0.034138655462184864,0.19999999999999996,0.05843768634466312,0.4611260601519126,0.04808239444634116,0.03057359307359306,0.19999999999999996,0.05303957568339457,0.30106112508697747,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,xgb,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,5,0.25936507936507935,0.07049191873687256,0.7428571428571429,0.26186146828319085,0.3778978978978979,0.099705069075114,0.8265111062346084,0.08026368731787424,0.75566166639328,0.3,True,recall_with_precision_floor,0.5,0.2,0.2857142857142857,0.42500000000000004,val_recall,max_recall_with_precision_floor,0.9281609195402298,0.6956521739130435,0.47058823529411764,0.5614035087719298,0.9134507306107156,0.8979591836734694,0.5,0.2,0.2857142857142857,0.42500000000000004,0.8910891089108911,0.4,0.2,0.26666666666666666,0.6082417582417583,0.03020173586676045,0.19565217391304346,0.27058823529411763,0.2756892230576441,0.48845073061071553,0.03707181062933873,0.29565217391304344,0.27058823529411763,0.29473684210526313,0.3052089723689573,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,xgb,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_lambda"": 6.0, ""subsample"": 0.7}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate3.joblib,5,0.26555555555555554,0.07074024606761149,0.7428571428571429,0.26186146828319085,0.3856410256410256,0.10243173038157018,0.8266159510399141,0.08256692311861306,0.741767168045044,0.3,True,recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.40454545454545454,val_recall,max_recall_with_precision_floor,0.9109195402298851,0.5384615384615384,0.6176470588235294,0.5753424657534246,0.9186961408767328,0.8775510204081632,0.3333333333333333,0.2,0.25,0.40454545454545454,0.900990099009901,0.5,0.2,0.2857142857142857,0.6186813186813187,0.03336851982172184,0.20512820512820512,0.4176470588235294,0.3253424657534246,0.5141506863312783,0.00992944121998407,0.038461538461538436,0.4176470588235294,0.2896281800391389,0.3000148221954141,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,lgbm,1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_samples"": 20, ""n_estimators"": 120, ""num_leaves"": 7, ""reg_lambda"": 4.0, ""subsample"": 0.8}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate1.joblib,5,0.2642857142857143,0.06998542122237651,0.7714285714285715,0.2649605284427344,0.3879365079365079,0.10175383175906351,0.8255382439714237,0.08206532783318256,0.04690389141655458,0.3,False,recall_with_precision_floor,0.11363636363636363,1.0,0.20408163265306123,0.46136363636363636,val_f1,fallback_max_f1_precision_floor_unmet,0.20402298850574713,0.10932475884244373,1.0,0.19710144927536233,0.9325121768452603,0.20408163265306123,0.11363636363636363,1.0,0.20408163265306123,0.46136363636363636,0.18811881188118812,0.1,0.9,0.18,0.6164835164835165,-5.8644147314101946e-05,-0.004311604793919899,0.0,-0.006980183377698901,0.47114854048162397,0.015904176624559008,0.009324758842443728,0.09999999999999998,0.017101449275362335,0.3160286603617438,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,lgbm,2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_samples"": 25, ""n_estimators"": 150, ""num_leaves"": 7, ""reg_lambda"": 5.0, ""subsample"": 0.75}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate2.joblib,5,0.25833541458541454,0.07907353322265116,0.7714285714285715,0.2649605284427344,0.3783630162940508,0.10416247970629722,0.8342159802989297,0.08903655971180979,0.058189926486204385,0.3,False,recall_with_precision_floor,0.11363636363636363,1.0,0.20408163265306123,0.4409090909090909,val_f1,fallback_max_f1_precision_floor_unmet,0.20402298850574713,0.10932475884244373,1.0,0.19710144927536233,0.9222086923941551,0.20408163265306123,0.11363636363636363,1.0,0.20408163265306123,0.4409090909090909,0.18811881188118812,0.1,0.9,0.18,0.6120879120879121,-5.8644147314101946e-05,-0.004311604793919899,0.0,-0.006980183377698901,0.48129960148506423,0.015904176624559008,0.009324758842443728,0.09999999999999998,0.017101449275362335,0.310120780306243,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
cm1,lgbm,3,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,42,348,49,101,314,34,44,5,91,10,5,"loc,v(g),ev(g),iv(g),branchCount",,,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate3.joblib,5,0.24997589600675157,0.07254061510633489,0.7714285714285715,0.2649605284427344,0.3710002278423331,0.10101179828988519,0.8351998146929022,0.0932275767686693,0.07109832733869113,0.3,False,recall_with_precision_floor,0.1282051282051282,1.0,0.22727272727272727,0.4340909090909091,val_f1,fallback_max_f1_precision_floor_unmet,0.3390804597701149,0.12878787878787878,1.0,0.22818791946308725,0.9165417759460472,0.30612244897959184,0.1282051282051282,1.0,0.22727272727272727,0.4340909090909091,0.31683168316831684,0.10666666666666667,0.8,0.18823529411764706,0.610989010989011,0.032958010790523073,0.0005827505827505908,0.0,0.0009151921903599869,0.48245086685513816,0.02224877660179808,0.02212121212121211,0.19999999999999996,0.039952625345440196,0.3055527649570362,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
jitfine,rf,1,jitline_native_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,42,16374,5465,5480,14984,1390,4998,467,5005,475,13,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\rf_candidate1.joblib,5,0.1990159924655638,0.007545685997264433,0.6827338129496402,0.04103873581856593,0.3080452522037572,0.01175806773308039,0.7790115404839513,0.01168840355918853,0.5779274800843901,0.3,True,recall_with_precision_floor,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,val_recall,max_recall_with_precision_floor,0.8110418956882863,0.25601374570446733,0.6431654676258993,0.3662433428922573,0.8283052042082297,0.8649588289112534,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,0.8217153284671533,0.20539906103286384,0.3684210526315789,0.26375282592313487,0.7012557968347441,-0.05391693322296709,-0.05013789950297187,0.1849213562768629,-0.0008235524765248803,0.04014797129365055,-0.01067343277886701,0.05061468467160349,0.2747444149943204,0.10249051696912242,0.12704940737348558,validation_threshold,best_validation_threshold_candidate_cv_tiebreak,True
