dataset_name,model,best_candidate_index,selection_metric,selection_strategy,best_val_auc,best_val_f1,test_auc,test_f1,test_accuracy,test_precision,test_recall,split_mode,source_file,split_manifest_path,random_seed,params_json
cm1,rf,2,val_auc,best_validation_candidate,0.6377777777777778,0.0,0.5005555555555556,0.2857142857142857,0.9,0.5,0.2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\split_manifest.json,42,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}"
cm1,xgb,1,val_auc,best_validation_candidate,0.6044444444444446,0.2857142857142857,0.4511111111111112,0.125,0.86,0.16666666666666666,0.1,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}"
cm1,lgbm,2,val_auc,best_validation_candidate,0.6133333333333334,0.0,0.4705555555555555,0.2222222222222222,0.86,0.25,0.2,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\split_manifest.json,42,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 63, ""subsample"": 0.9}"
jm1,rf,2,val_auc,best_validation_candidate,0.6849015966921805,0.171875,0.7165270889232188,0.23247232472324722,0.8089113458888378,0.5163934426229508,0.15,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}"
jm1,xgb,1,val_auc,best_validation_candidate,0.7005878288656899,0.18110236220472442,0.7127923679431933,0.20155038759689922,0.8107487367937529,0.5416666666666666,0.12380952380952381,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}"
jm1,lgbm,1,val_auc,best_validation_candidate,0.6883373457556489,0.14457831325301204,0.705434723690273,0.1951219512195122,0.802939825447864,0.46017699115044247,0.12380952380952381,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jm1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jm1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}"
kc1,rf,3,val_auc,best_validation_candidate,0.7757916241062308,0.3050847457627119,0.82049127343245,0.4074074074074074,0.8483412322274881,0.5116279069767442,0.3384615384615385,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 400}"
kc1,xgb,1,val_auc,best_validation_candidate,0.7704290091930541,0.3157894736842105,0.8137901314371904,0.37254901960784315,0.8483412322274881,0.5135135135135135,0.2923076923076923,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}"
kc1,lgbm,1,val_auc,best_validation_candidate,0.7591079332652366,0.3548387096774194,0.7975436328377505,0.4074074074074074,0.8483412322274881,0.5116279069767442,0.3384615384615385,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\kc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\kc1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}"
pc1,rf,2,val_auc,best_validation_candidate,0.6893203883495145,0.0,0.8391304347826087,0.38095238095238093,0.9414414414414415,0.6666666666666666,0.26666666666666666,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 300}"
pc1,xgb,2,val_auc,best_validation_candidate,0.7475728155339805,0.0,0.7695652173913045,0.2222222222222222,0.9369369369369369,0.6666666666666666,0.13333333333333333,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.9}"
pc1,lgbm,1,val_auc,best_validation_candidate,0.7475728155339805,0.0,0.7914653784219001,0.36363636363636365,0.9369369369369369,0.5714285714285714,0.26666666666666666,saved_split,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\pc1_clean.parquet,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\pc1\split_manifest.json,42,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""n_estimators"": 200, ""num_leaves"": 31, ""subsample"": 0.8}"
