dataset_name,model,feature_family,feature_set,text_feature_column,uses_commit_text,artifact_schema_version,artifact_stage,artifact_created_at,artifact_group_key,artifact_id,source_results_table,source_file,random_seed,test_size,stratified_split,configured_models,configured_metrics,num_train_rows,num_val_rows,num_test_rows,num_features,train_num_clean,train_num_defective,test_num_clean,test_num_defective,train_label_distribution,test_label_distribution,selected_metrics,missing_metrics,dropped_all_nan_metrics,decision_threshold,threshold_precision_floor,threshold_constraint_met,threshold_selection_metric,threshold_selection_strategy,threshold_val_precision,threshold_val_recall,threshold_val_f1,threshold_val_auc,cv_folds,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_auc,cv_std_auc,selection_data_source,test_metrics_report_only,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_precision,val_recall,val_f1,val_auc,accuracy,precision,recall,f1,auc,gap_train_test_accuracy,gap_train_test_precision,gap_train_test_recall,gap_train_test_f1,gap_train_test_auc,gap_train_val_accuracy,gap_train_val_precision,gap_train_val_recall,gap_train_val_f1,gap_train_val_auc,model_path,metrics_num_features,tfidf_num_features,tfidf_vocabulary_size,has_commit_text,threshold_strategy_requested,split_manifest_path,split_manifest_hash,split_mode,val_size,use_saved_splits,feature_mode,training_mode,candidate_index,val_num_clean,val_num_defective,params_json,selection_strategy,selection_metric,rank_within_dataset
cm1,xgb,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::xgb,cm1::xgb::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,,,,,348,49,101,5,314.0,34.0,91.0,10.0,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.75566166639328,0.3,True,val_recall,max_recall_with_precision_floor,0.5,0.2,0.2857142857142857,0.425,5.0,0.2593650793650793,0.0704919187368725,0.7428571428571429,0.2618614682831908,0.3778978978978979,0.099705069075114,0.8265111062346084,0.0802636873178742,validation_threshold,True,0.9281609195402298,0.6956521739130435,0.4705882352941176,0.5614035087719298,0.9134507306107156,0.8979591836734694,0.5,0.2,0.2857142857142857,0.425,0.8910891089108911,0.4,0.2,0.2666666666666666,0.6082417582417583,0.0370718106293387,0.2956521739130434,0.2705882352941176,0.2947368421052631,0.3052089723689573,0.0302017358667604,0.1956521739130434,0.2705882352941176,0.2756892230576441,0.4884507306107155,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\xgb_candidate2.joblib,,,,,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,,saved_split,,,,tuned,2.0,44.0,5.0,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.04, ""max_depth"": 2, ""min_child_weight"": 6, ""n_estimators"": 150, ""reg_lambda"": 5.0, ""subsample"": 0.75}",best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,1
cm1,rf,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::rf,cm1::rf::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,,,,,348,49,101,5,314.0,34.0,91.0,10.0,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.6723309067105504,0.3,True,val_recall,max_recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.525,5.0,0.3135854341736694,0.1365775316557412,0.5619047619047619,0.1487666604934601,0.3886420596946913,0.115417435155356,0.8178601906712506,0.0790709927884579,validation_threshold,True,0.9396551724137931,0.7241379310344828,0.6176470588235294,0.6666666666666666,0.9531659797677032,0.8775510204081632,0.3333333333333333,0.2,0.25,0.525,0.8712871287128713,0.2857142857142857,0.2,0.2352941176470588,0.5873626373626373,0.0683680437009218,0.438423645320197,0.4176470588235294,0.4313725490196078,0.3658033424050659,0.0621041520056299,0.3908045977011494,0.4176470588235294,0.4166666666666666,0.4281659797677032,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\rf_candidate3.joblib,,,,,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,,saved_split,,,,tuned,3.0,44.0,5.0,"{""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 250}",best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,2
cm1,rf,metrics_only,metrics_only,,False,paper-v1,training,,cm1::rf,cm1::rf::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,49,101,5,,,,,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.6625548407953382,0.3,True,val_recall,max_recall_with_precision_floor,0.3333333333333333,0.2,0.25,0.4818181818181818,,,,,,,,,,validation,True,0.9511494252873564,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.9690427126264518,0.8571428571428571,0.0,0.0,0.0,0.4818181818181818,0.8811881188118812,0.3333333333333333,0.2,0.25,0.6027472527472528,0.0699613064754751,0.4408602150537634,0.5058823529411764,0.4884615384615385,0.366295459879199,0.0940065681444992,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.48722453080827,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\rf_cm1.joblib,5.0,0.0,0.0,False,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics_only,baseline,,,,,,,3
cm1,lgbm,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,cm1::lgbm,cm1::lgbm::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\cm1_clean.parquet,42,,,,,348,49,101,5,314.0,34.0,91.0,10.0,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.0710983273386911,0.3,False,val_f1,fallback_max_f1_precision_floor_unmet,0.1282051282051282,1.0,0.2272727272727272,0.4340909090909091,5.0,0.2499758960067515,0.0725406151063348,0.7714285714285715,0.2649605284427344,0.3710002278423331,0.1010117982898851,0.8351998146929022,0.0932275767686693,validation_threshold,True,0.3390804597701149,0.1287878787878787,1.0,0.2281879194630872,0.9165417759460472,0.3061224489795918,0.1282051282051282,1.0,0.2272727272727272,0.4340909090909091,0.3168316831683168,0.1066666666666666,0.8,0.188235294117647,0.610989010989011,0.022248776601798,0.0221212121212121,0.1999999999999999,0.0399526253454401,0.3055527649570362,0.032958010790523,0.0005827505827505,0.0,0.0009151921903599,0.4824508668551381,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\cm1\lgbm_candidate3.joblib,,,,,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,,saved_split,,,,tuned,3.0,44.0,5.0,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 180, ""num_leaves"": 11, ""reg_lambda"": 6.0, ""subsample"": 0.7}",best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,4
cm1,xgb,metrics_only,metrics_only,,False,paper-v1,training,,cm1::xgb,cm1::xgb::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,49,101,5,,,,,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.49616739153862,0.3,False,val_f1,fallback_max_f1_precision_floor_unmet,0.2222222222222222,0.4,0.2857142857142857,0.5022727272727272,,,,,,,,,,validation,True,0.8908045977011494,0.4714285714285714,0.9705882352941176,0.6346153846153846,0.9809385537654552,0.7959183673469388,0.2222222222222222,0.4,0.2857142857142857,0.5022727272727272,0.7821782178217822,0.2,0.4,0.2666666666666666,0.6252747252747253,0.1086263798793671,0.2714285714285714,0.5705882352941176,0.3679487179487179,0.3556638284907299,0.0948862303542106,0.2492063492063492,0.5705882352941176,0.3489010989010989,0.478665826492728,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\xgb_cm1.joblib,5.0,0.0,0.0,False,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics_only,baseline,,,,,,,5
cm1,lgbm,metrics_only,metrics_only,,False,paper-v1,training,,cm1::lgbm,cm1::lgbm::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\experiments\cm1_experiment.parquet,42,0.2,,"rf,xgb,lgbm","loc,v(g),ev(g),iv(g),branchCount",348,49,101,5,,,,,,,"loc,v(g),ev(g),iv(g),branchCount",,,0.5682065532797295,0.3,False,val_f1,fallback_max_f1_precision_floor_unmet,0.2222222222222222,0.4,0.2857142857142857,0.4772727272727273,,,,,,,,,,validation,True,0.8879310344827587,0.4647887323943662,0.9705882352941176,0.6285714285714286,0.9746627950543274,0.7959183673469388,0.2222222222222222,0.4,0.2857142857142857,0.4772727272727273,0.801980198019802,0.2222222222222222,0.4,0.2857142857142857,0.6351648351648352,0.0859508364629566,0.2425665101721439,0.5705882352941176,0.3428571428571428,0.3394979598894921,0.0920126671358199,0.2425665101721439,0.5705882352941176,0.3428571428571428,0.4973900677816001,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics\lgbm_cm1.joblib,5.0,0.0,0.0,False,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\cm1\manifest.json,e68a9110296eb4539f08ed7aaad9c2827203d3bb0376b9d3af3b4ea57d98486e,saved_split,0.1,True,metrics_only,baseline,,,,,,,6
jitfine,rf,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,paper-v1,training,,jitfine::rf,jitfine::rf::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\hybrid_tfidf_results.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42,0.2,True,,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",16374,5465,5480,1013,14984.0,1390.0,5005.0,475.0,"0:14984,1:1390","0:5005,1:475","la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5414569193062632,0.3,True,val_recall,max_recall_with_precision_floor,0.300498753117207,0.5160599571734475,0.3798266351457841,0.7939621244643468,,,,,,,,,,validation,True,0.8203249053377305,0.2718988830099941,0.6654676258992805,0.3860601001669449,0.82996812907389,0.855992680695334,0.300498753117207,0.5160599571734475,0.3798266351457841,0.7939621244643468,0.8093065693430657,0.2097759674134419,0.4336842105263158,0.2827728208647906,0.7237074504442926,0.0110183359946648,0.0621229155965521,0.2317834153729647,0.1032872793021542,0.1062606786295973,-0.0356677753576034,-0.0285998701072128,0.149407668725833,0.0062334650211608,0.0360060046095431,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\rf_jitfine.joblib,13.0,1000.0,1000.0,True,recall_with_precision_floor,,,jitline_native_split,0.1,,metrics+tfidf,hybrid_tfidf,,,,,,,1
jitfine,xgb,metrics_plus_commit_text,metrics_plus_commit_text,commit_text,True,paper-v1,training,,jitfine::xgb,jitfine::xgb::training,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\hybrid_tfidf_results.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42,0.2,True,,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",16374,5465,5480,1013,14984.0,1390.0,5005.0,475.0,"0:14984,1:1390","0:5005,1:475","la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.561337947845459,0.3,True,val_recall,max_recall_with_precision_floor,0.3006711409395973,0.4796573875802998,0.3696369636963696,0.7930531955823015,,,,,,,,,,validation,True,0.8203249053377305,0.2822671156004489,0.7237410071942446,0.4061364553895841,0.8687262096356017,0.8602012808783166,0.3006711409395973,0.4796573875802998,0.3696369636963696,0.7930531955823015,0.8215328467153284,0.2220994475138121,0.4231578947368421,0.2913043478260869,0.7437686524002313,-0.0012079413775979,0.0601676680866367,0.3005831124574025,0.1148321075634972,0.1249575572353703,-0.039876375540586,-0.0184040253391483,0.2440836196139448,0.0364994916932145,0.0756730140533001,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\hybrid_tfidf\xgb_jitfine.joblib,13.0,1000.0,1000.0,True,recall_with_precision_floor,,,jitline_native_split,0.1,,metrics+tfidf,hybrid_tfidf,,,,,,,2
jitfine,rf,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jitfine::rf,jitfine::rf::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42,,,,,16374,5465,5480,13,14984.0,1390.0,5005.0,475.0,,,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5779274800843901,0.3,True,val_recall,max_recall_with_precision_floor,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,5.0,0.1990159924655638,0.0075456859972644,0.6827338129496402,0.0410387358185659,0.3080452522037572,0.0117580677330803,0.7790115404839513,0.0116884035591885,validation_threshold,True,0.8110418956882863,0.2560137457044673,0.6431654676258993,0.3662433428922573,0.8283052042082297,0.8649588289112534,0.3061516452074392,0.4582441113490364,0.3670668953687822,0.7881572329145792,0.8217153284671533,0.2053990610328638,0.3684210526315789,0.2637528259231348,0.7012557968347441,-0.010673432778867,0.0506146846716034,0.2747444149943204,0.1024905169691224,0.1270494073734855,-0.053916933222967,-0.0501378995029718,0.1849213562768629,-0.0008235524765248,0.0401479712936505,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\rf_candidate1.joblib,,,,,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,,jitline_native_split,,,,tuned,1.0,4998.0,467.0,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 250}",best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,3
jitfine,xgb,metrics_only,metrics_only,,False,paper-v1,tuned_best_table,2026-06-27T05:31:34,jitfine::xgb,jitfine::xgb::tuned_best_table,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\results\tables\results_table.csv,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\processed\jitfine_clean.parquet,42,,,,,16374,5465,5480,13,14984.0,1390.0,5005.0,475.0,,,"la,ld,nf,ns,nd,entropy,ndev,lt,nuc,age,exp,rexp,sexp",,,0.5879729986190796,0.3,True,val_recall,max_recall_with_precision_floor,0.3018597997138769,0.4518201284796574,0.3619210977701543,0.7838482287990143,5.0,0.1972463383824269,0.0070783696159474,0.706474820143885,0.0353617431005597,0.3082777698498811,0.0106815636039708,0.7870281672319482,0.0115036170220343,validation_threshold,True,0.8076829119335532,0.2506379359228806,0.6359712230215827,0.3595688427903193,0.808824256665143,0.8638609332113449,0.3018597997138769,0.4518201284796574,0.3619210977701543,0.7838482287990143,0.8182481751824817,0.2069741282339707,0.3873684210526316,0.2697947214076246,0.7008202323991798,-0.0105652632489284,0.0436638076889098,0.2486028019689511,0.0897741213826947,0.1080040242659632,-0.0561780212777917,-0.0512218637909963,0.1841510945419253,-0.002352254979835,0.0249760278661287,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\models\metrics_tuned\jitfine\xgb_candidate1.joblib,,,,,recall_with_precision_floor,C:\Users\Dam Hieu\Desktop\CNDM - VIẾT BÁO + KLTN\prototype\data\splits\jitfine\manifest.json,,jitline_native_split,,,,tuned,1.0,4998.0,467.0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 2.0, ""subsample"": 0.8}",best_validation_threshold_candidate_cv_tiebreak,val_recall_then_val_f1_precision_floor_0.30,4
