dataset_name,model,n_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
cm1,rf,100,0.849580808080808,0.039162057018909166,0.1405952380952381,0.20551010852180193,0.11349999999999999,0.14544515436855548,0.11725657675657676,0.14660567388758197,0.7272603658536585,0.09875507917545377
cm1,xgb,100,0.8234696969696969,0.04575085403909135,0.19295707070707066,0.15335972898148303,0.24100000000000002,0.1791365372834336,0.20655977355977356,0.14968377874538197,0.7149512195121952,0.11102615718745563
cm1,lgbm,100,0.8326616161616163,0.04755543786719525,0.2061785714285714,0.19617816001715305,0.2175,0.18874586088176873,0.19804267954267954,0.15891316934123956,0.6971817073170731,0.1057239807722162
jm1,rf,100,0.7507454556781723,0.00952963845833463,0.3368611456617352,0.016059129079998364,0.5833689780005569,0.04169211476353619,0.42685956801832453,0.022442370631072787,0.7566348726894536,0.01816791235361232
jm1,xgb,100,0.7085081187541239,0.010858055335566828,0.3053453075382184,0.013419370098301995,0.6506104149262043,0.03676387670570292,0.41549105136885556,0.01863734624113992,0.7519401420356587,0.0189458378585792
jm1,lgbm,100,0.7275436521084124,0.011475144284028026,0.3189447260881547,0.015592349206386408,0.6250417710944025,0.03664505552098991,0.4222043024040715,0.02046828255188865,0.7560520413200726,0.017676640365990474
kc1,rf,100,0.8020983013088278,0.02510163436960396,0.4059074246726547,0.052719788828098677,0.5986551724137932,0.09853281166066759,0.4817677277126603,0.06264418784014603,0.8161177315360179,0.0407595825003537
kc1,xgb,100,0.7570657198551933,0.02953182568729754,0.3524677578087211,0.041280541652109995,0.6743908045977013,0.08352188120649856,0.46175820520658967,0.04989969565867731,0.8126938419183267,0.03977063461774441
kc1,lgbm,100,0.7832475633528265,0.027010961201027132,0.3776866093121442,0.04900677669255434,0.6171379310344828,0.09653514962257956,0.46702668041503387,0.06040139786310235,0.8026679334439923,0.04102765715608925
pc1,rf,100,0.9226474747474745,0.02205179144672837,0.4586655566655567,0.20064973392713936,0.4049999999999999,0.1820054608214954,0.41241410481503366,0.1574683437939618,0.8816318818317419,0.06066707142584936
pc1,xgb,100,0.9009030303030301,0.02857908815684321,0.3617205433455433,0.131389480014563,0.5009523809523809,0.19062404074238243,0.4106550672641397,0.14031077232911485,0.8757466216968323,0.06070160556737978
pc1,lgbm,100,0.9065141414141415,0.027991479293531577,0.37911643911643916,0.15701771154162494,0.45095238095238094,0.1896573307646194,0.399649305193692,0.15009743037725254,0.8640895556446047,0.07004077488472829
jitfine,rf,100,0.7620372929324555,0.009319845143454833,0.20847521587157278,0.011368778780731515,0.6383392025237519,0.03176076524081511,0.3142380700289627,0.01613211793564817,0.7790771703626657,0.016149022490415745
jitfine,xgb,100,0.7369010340577492,0.00794076907785878,0.19801403416471672,0.008412315735692366,0.682249367227908,0.029564075068129726,0.3069009726055543,0.012591314698333467,0.7838747418440668,0.015688887150891118
jitfine,lgbm,100,0.7568358090209851,0.007805334656177947,0.20892898053310438,0.008851967335471321,0.6629967719452697,0.02879299740878303,0.31767963369658514,0.012905822764018015,0.7854982141416045,0.015406580357212988
openstack,rf,100,0.7691970421922574,0.01230265165925759,0.30318151459340636,0.016789564449954508,0.6811872301749602,0.0340292563327504,0.4194192739444455,0.02067245750772594,0.8133577746930857,0.014047598418875854
openstack,xgb,100,0.7438361568835687,0.011923811795384305,0.28813880298724087,0.012919594108410492,0.7426463682496405,0.029467356245806566,0.4150547520974097,0.016401481086658582,0.8252680389536947,0.0139466192003529
openstack,lgbm,100,0.764837467447733,0.011362813940453017,0.3026160868705563,0.014402660936126539,0.7056494736044838,0.03101171741285224,0.423421411898489,0.017912896336932566,0.821734736353326,0.013897105733637177
qt,rf,100,0.8345898672260336,0.007033658040180763,0.24563246148497317,0.013551000920804673,0.6413084729478171,0.038842830865800725,0.35508469972209517,0.018907734450033988,0.8301191257040474,0.01660339569129226
qt,xgb,100,0.7845937189272141,0.007659469449053521,0.20913676366117545,0.009358541473293845,0.730629916531556,0.034486371823360826,0.325125034183853,0.013970110531944897,0.8407405529188543,0.015283665477334847
qt,lgbm,100,0.8050069587905812,0.007055402454811703,0.22363235662092887,0.010113909703625287,0.706133129165916,0.0366538960348905,0.3396055582489918,0.015054792807308074,0.841114524430008,0.015921913291530455
